"","id","created_at","updated_at","active","birth_date","city","country","draft_season","draft_round","draft_overall_pick","draft_team_name","first_name","handedness","bats","height","unit_of_height","last_name","name","position_abbreviation","position_name","salary","humanized_salary","salary_currency","school","slug","sport","state","weight","unit_of_weight","years_of_experience","league_id","playing_position_id","team_id","full_name"
"1","85ac7e15-af0e-4240-88f1-6712aea9a11a","2016-01-06T00:48:07-05:00","2016-05-16T02:13:48-04:00",TRUE,"1990-10-06","Mesquite","USA","2012",2,37,"Toronto","Quincy","unknown","bats_unknown",79,"inches","Acy","Quincy Acy","SF","Small Forward",981348,"981,348","USD",NA,"nba-quincy-acy","basketball","Texas",240,"pounds",3,"3c805f57-ef31-407d-b633-54bac8745b9e","256b32e6-b465-4e4c-938e-2230696e3c5d","1572a867-7efd-4338-9f64-b7b961676f37","quincy acy"
"2","6f830a50-f108-466e-93e2-a36c807cae8f","2016-01-06T00:47:58-05:00","2016-05-17T06:05:10-04:00",TRUE,"1994-07-08","Atlanta","USA","2014",1,22,"Memphis","Jordan","unknown","bats_unknown",77,"inches","Adams","Jordan Adams","SG","Shooting Guard",1404600,"1,404,600","USD",NA,"nba-jordan-adams","basketball","Georgia",209,"pounds",1,"3c805f57-ef31-407d-b633-54bac8745b9e","8887df44-59d1-4fea-8007-1880babff6d9","52b6ddeb-ef1e-4146-9170-595c083c35b0","jordan adams"
"3","dc310e23-73cf-409b-aa71-976537d0bf0f","2016-01-06T00:48:06-05:00","2016-05-17T02:16:19-04:00",TRUE,"1993-07-28","Rotorua","NZL","2013",1,12,"Oklahoma City","Steven","unknown","bats_unknown",84,"inches","Adams","Steven Adams","C","Center",2279040,"2,279,040","USD",NA,"nba-steven-adams","basketball",NA,255,"pounds",2,"3c805f57-ef31-407d-b633-54bac8745b9e","fbd1be80-ae5b-4179-a871-6e6df24f688f","18e967b2-07e1-473c-8dda-bac32defc28e","steven adams"
"4","4d8fe387-3bf5-4b3e-8107-a077bc64ecb5","2016-01-06T01:03:38-05:00","2016-04-06T11:22:32-04:00",FALSE,"1986-02-10","Brookline","USA",NA,NA,NA,NA,"Jeff","unknown","bats_unknown",79,"inches","Adrien","Jeff Adrien","SF","Small Forward",915243,"915,243","USD",NA,"nba-jeff-adrien","basketball","Massachusetts",245,"pounds",3,"3c805f57-ef31-407d-b633-54bac8745b9e","256b32e6-b465-4e4c-938e-2230696e3c5d","c29ace8e-5203-4891-b4e1-92f0a62bbced","jeff adrien"
"5","19caff0f-24d2-4fcb-959b-ca60e7f4b419","2016-01-06T00:48:07-05:00","2016-05-16T02:12:05-04:00",TRUE,"1985-10-15","Los Angeles","USA","2007",1,27,"Detroit","Arron","unknown","bats_unknown",77,"inches","Afflalo","Arron Afflalo","SG","Shooting Guard",8000000,"8,000,000","USD",NA,"nba-arron-afflalo","basketball","California",210,"pounds",8,"3c805f57-ef31-407d-b633-54bac8745b9e","8887df44-59d1-4fea-8007-1880babff6d9","d0e50d36-35cc-454b-a2b3-d56b2cbc029d","arron afflalo"
"6","62d2c7a8-6a0a-47ae-97ae-1feee5afde59","2016-04-06T11:04:28-04:00","2016-04-06T11:04:28-04:00",FALSE,"1987-06-24","Los Angeles","USA",NA,NA,NA,NA,"Ronnie","unknown","bats_unknown",85,"inches","Aguilar","Ronnie Aguilar","C","Center",NA,"","USD",NA,"nba-ronnie-aguilar","basketball","California",250,"pounds",0,"3c805f57-ef31-407d-b633-54bac8745b9e","fbd1be80-ae5b-4179-a871-6e6df24f688f","ed6fc9b7-bfa2-4f04-a78d-f1876b6b4823","ronnie aguilar"
"7","9964c51a-8476-459a-b8be-8330477c8435","2016-04-06T11:02:31-04:00","2016-04-06T11:09:07-04:00",FALSE,"1984-05-27","St. Louis","USA",NA,NA,NA,NA,"Blake","unknown","bats_unknown",74,"inches","Ahearn","Blake Ahearn","G","Guard",NA,"","USD",NA,"nba-blake-ahearn","basketball","Missouri",190,"pounds",3,"3c805f57-ef31-407d-b633-54bac8745b9e","8d6f273b-faf3-4238-9fe5-e5e7244715fb","88710a85-be5d-429f-b0ba-10a27f1c1d79","blake ahearn"
"8","383eee4b-1c92-49f1-a164-5a1b615dd45a","2016-01-06T00:48:00-05:00","2016-05-15T04:09:16-04:00",TRUE,"1988-05-06","Saint-Etienne","FRA","2008",1,20,"Charlotte","Alexis","unknown","bats_unknown",86,"inches","Ajinca","Alexis Ajinca","C","Center",4389607,"4,389,607","USD",NA,"nba-alexis-ajinca","basketball",NA,248,"pounds",5,"3c805f57-ef31-407d-b633-54bac8745b9e","fbd1be80-ae5b-4179-a871-6e6df24f688f","c29ace8e-5203-4891-b4e1-92f0a62bbced","alexis ajinca"
"9","d1c4a0d3-25e3-4161-8d06-65d99e95f6c4","2016-04-06T11:06:24-04:00","2016-04-06T11:06:24-04:00",TRUE,"1986-02-10","Petaluma","USA",NA,NA,NA,NA,"Josh","unknown","bats_unknown",71,"inches","Akognon","Josh Akognon","G","Guard",NA,"","USD",NA,"nba-josh-akognon","basketball","California",185,"pounds",0,"3c805f57-ef31-407d-b633-54bac8745b9e","8d6f273b-faf3-4238-9fe5-e5e7244715fb","35ded680-b7b1-4cd9-a223-7bc4ab0b77ed","josh akognon"
"10","da3c9f82-ac19-446e-bd87-acac2d712078","2016-04-06T11:05:44-04:00","2016-04-06T11:05:44-04:00",FALSE,"1988-03-21","Kaduna","NGA","2010",2,50,"Dallas","Solomon","unknown","bats_unknown",85,"inches","Alabi","Solomon Alabi","C","Center",NA,"","USD",NA,"nba-solomon-alabi","basketball",NA,251,"pounds",2,"3c805f57-ef31-407d-b633-54bac8745b9e","fbd1be80-ae5b-4179-a871-6e6df24f688f","c29ace8e-5203-4891-b4e1-92f0a62bbced","solomon alabi"
